Bexar County,May 24 2022 - Democrats,Joint Primary Runoff,Total Provisionals:  24,Total Provisionals Counted:  14,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1008,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,844",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,285,,118,,27,,140,,,,,
Ballots Cast - Democratic Party,,259,,112,,27,,120,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,15.46%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,101,,41.56%,,48,,9,,,44,,
Mike Collier,,142,,58.44%,,56,,17,,,69,,
Total Votes Cast,,243,,100.00%,,104,,26,,,113,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,16,,,,8,,1,,,7,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,180,,71.43%,,80,,17,,,83,,
Joe Jaworski,,72,,28.57%,,30,,9,,,33,,
Total Votes Cast,,252,,100.00%,,110,,26,,,116,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,2,,1,,,4,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,97,,41.81%,,39,,14,,,44,,
Janet T. Dudding,,135,,58.19%,,58,,13,,,64,,
Total Votes Cast,,232,,100.00%,,97,,27,,,108,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,27,,,,15,,0,,,12,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,108,,45.57%,,49,,10,,,49,,
Jay Kleberg,,129,,54.43%,,48,,16,,,65,,
Total Votes Cast,,237,,100.00%,,97,,26,,,114,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,22,,,,15,,1,,,6,,
,,,,,,,,,,15,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1008,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,109,,43.08%,,49,,7,,,53,,
Peter Sakai,,144,,56.92%,,60,,19,,,65,,
Total Votes Cast,,253,,100.00%,,109,,26,,,118,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,3,,1,,,2,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,154,,66.96%,,64,,19,,,71,,
Maria Teresa Garcia,,76,,33.04%,,31,,7,,,38,,
Total Votes Cast,,230,,100.00%,,95,,26,,,109,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,29,,,,17,,1,,,11,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,79,,33.76%,,29,,11,,,39,,
"Christine ""Chris"" Castillo",,155,,66.24%,,71,,15,,,69,,
Total Votes Cast,,234,,100.00%,,100,,26,,,108,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,25,,,,12,,1,,,12,,
,,,,,,,,,,16,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1009,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,866",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,64,,34,,5,,25,,,,,
Ballots Cast - Democratic Party,,44,,25,,2,,17,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,3.43%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,30,,73.17%,,19,,1,,,10,,
Mike Collier,,11,,26.83%,,3,,1,,,7,,
Total Votes Cast,,41,,100.00%,,22,,2,,,17,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,3,,0,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,30,,69.77%,,18,,1,,,11,,
Joe Jaworski,,13,,30.23%,,6,,1,,,6,,
Total Votes Cast,,43,,100.00%,,24,,2,,,17,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,1,,0,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,24,,61.54%,,15,,1,,,8,,
Janet T. Dudding,,15,,38.46%,,7,,1,,,7,,
Total Votes Cast,,39,,100.00%,,22,,2,,,15,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,3,,0,,,2,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,28,,68.29%,,14,,1,,,13,,
Jay Kleberg,,13,,31.71%,,8,,1,,,4,,
Total Votes Cast,,41,,100.00%,,22,,2,,,17,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,3,,0,,,0,,
,,,,,,,,,,17,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1009,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,19,,43.18%,,9,,0,,,10,,
Peter Sakai,,25,,56.82%,,16,,2,,,7,,
Total Votes Cast,,44,,100.00%,,25,,2,,,17,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,26,,60.47%,,18,,0,,,8,,
Maria Teresa Garcia,,17,,39.53%,,6,,2,,,9,,
Total Votes Cast,,43,,100.00%,,24,,2,,,17,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,1,,0,,,0,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,29,,67.44%,,16,,2,,,11,,
"Christine ""Chris"" Castillo",,14,,32.56%,,8,,0,,,6,,
Total Votes Cast,,43,,100.00%,,24,,2,,,17,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,1,,0,,,0,,
,,,,,,,,,,18,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1010,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,648,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,138,,54,,11,,73,,,,,
Ballots Cast - Democratic Party,,123,,51,,11,,61,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,21.30%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,"DEM United States Representative, District 28 United States Representative, District 28",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Jessica Cisneros,,115,,94.26%,,50,,8,,,57,,
Henry Cuellar,,7,,5.74%,,1,,3,,,3,,
Total Votes Cast,,122,,100.00%,,51,,11,,,60,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,54,,50.94%,,24,,3,,,27,,
Mike Collier,,52,,49.06%,,18,,8,,,26,,
Total Votes Cast,,106,,100.00%,,42,,11,,,53,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,17,,,,9,,0,,,8,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,85,,79.44%,,38,,7,,,40,,
Joe Jaworski,,22,,20.56%,,6,,4,,,12,,
Total Votes Cast,,107,,100.00%,,44,,11,,,52,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,16,,,,7,,0,,,9,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,52,,54.17%,,18,,8,,,26,,
Janet T. Dudding,,44,,45.83%,,21,,3,,,20,,
Total Votes Cast,,96,,100.00%,,39,,11,,,46,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,27,,,,12,,0,,,15,,
,,,,,,,,,,19,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1010,,,,,,,,,,,,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,68,,69.39%,,28,,8,,,32,,
Jay Kleberg,,30,,30.61%,,9,,3,,,18,,
Total Votes Cast,,98,,100.00%,,37,,11,,,50,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,25,,,,14,,0,,,11,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,64,,56.64%,,32,,2,,,30,,
Peter Sakai,,49,,43.36%,,13,,9,,,27,,
Total Votes Cast,,113,,100.00%,,45,,11,,,57,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,6,,0,,,4,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,50,,51.55%,,20,,6,,,24,,
Maria Teresa Garcia,,47,,48.45%,,20,,5,,,22,,
Total Votes Cast,,97,,100.00%,,40,,11,,,46,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,26,,,,11,,0,,,15,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,42,,40.38%,,18,,7,,,17,,
"Christine ""Chris"" Castillo",,62,,59.62%,,24,,4,,,34,,
Total Votes Cast,,104,,100.00%,,42,,11,,,51,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,19,,,,9,,0,,,10,,
,,,,,,,,,,20,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1011,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,156",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,91,,38,,17,,36,,,,,
Ballots Cast - Democratic Party,,74,,29,,16,,29,,,,,
Ballots Cast - Blank,,1,,1,,0,,0,,,,,
Voter Turnout - Total,,7.87%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,38,,59.38%,,18,,7,,,13,,
Mike Collier,,26,,40.62%,,8,,6,,,12,,
Total Votes Cast,,64,,100.00%,,26,,13,,,25,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,3,,3,,,4,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,51,,76.12%,,20,,10,,,21,,
Joe Jaworski,,16,,23.88%,,5,,5,,,6,,
Total Votes Cast,,67,,100.00%,,25,,15,,,27,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,4,,1,,,2,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,40,,59.70%,,17,,9,,,14,,
Janet T. Dudding,,27,,40.30%,,8,,6,,,13,,
Total Votes Cast,,67,,100.00%,,25,,15,,,27,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,4,,1,,,2,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,43,,63.24%,,22,,9,,,12,,
Jay Kleberg,,25,,36.76%,,4,,7,,,14,,
Total Votes Cast,,68,,100.00%,,26,,16,,,26,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,3,,0,,,3,,
,,,,,,,,,,21,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1011,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,23,,31.94%,,8,,7,,,8,,
Peter Sakai,,49,,68.06%,,19,,9,,,21,,
Total Votes Cast,,72,,100.00%,,27,,16,,,29,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,37,,53.62%,,9,,11,,,17,,
Maria Teresa Garcia,,32,,46.38%,,16,,5,,,11,,
Total Votes Cast,,69,,100.00%,,25,,16,,,28,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,4,,0,,,1,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,32,,45.71%,,14,,8,,,10,,
"Christine ""Chris"" Castillo",,38,,54.29%,,12,,8,,,18,,
Total Votes Cast,,70,,100.00%,,26,,16,,,28,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,3,,0,,,1,,
,,,,,,,,,,22,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1012,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,232",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,154,,53,,45,,56,,,,,
Ballots Cast - Democratic Party,,109,,33,,36,,40,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,6.90%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,59,,56.73%,,22,,17,,,20,,
Mike Collier,,45,,43.27%,,10,,17,,,18,,
Total Votes Cast,,104,,100.00%,,32,,34,,,38,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,1,,2,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,72,,67.29%,,25,,19,,,28,,
Joe Jaworski,,35,,32.71%,,8,,16,,,11,,
Total Votes Cast,,107,,100.00%,,33,,35,,,39,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,0,,1,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,68,,66.02%,,21,,19,,,28,,
Janet T. Dudding,,35,,33.98%,,10,,14,,,11,,
Total Votes Cast,,103,,100.00%,,31,,33,,,39,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,2,,3,,,1,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,72,,71.29%,,23,,18,,,31,,
Jay Kleberg,,29,,28.71%,,7,,14,,,8,,
Total Votes Cast,,101,,100.00%,,30,,32,,,39,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,3,,4,,,1,,
,,,,,,,,,,23,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1012,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,53,,49.07%,,16,,17,,,20,,
Peter Sakai,,55,,50.93%,,17,,19,,,19,,
Total Votes Cast,,108,,100.00%,,33,,36,,,39,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,44,,44.00%,,14,,16,,,14,,
Maria Teresa Garcia,,56,,56.00%,,17,,16,,,23,,
Total Votes Cast,,100,,100.00%,,31,,32,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,2,,4,,,3,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,64,,62.14%,,21,,19,,,24,,
"Christine ""Chris"" Castillo",,39,,37.86%,,10,,15,,,14,,
Total Votes Cast,,103,,100.00%,,31,,34,,,38,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,2,,2,,,2,,
,,,,,,,,,,24,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1013,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,436",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,196,,95,,33,,68,,,,,
Ballots Cast - Democratic Party,,173,,78,,33,,62,,,,,
Ballots Cast - Blank,,1,,0,,0,,1,,,,,
Voter Turnout - Total,,8.05%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,104,,63.03%,,52,,17,,,35,,
Mike Collier,,61,,36.97%,,23,,15,,,23,,
Total Votes Cast,,165,,100.00%,,75,,32,,,58,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,3,,1,,,4,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,133,,79.17%,,62,,23,,,48,,
Joe Jaworski,,35,,20.83%,,15,,10,,,10,,
Total Votes Cast,,168,,100.00%,,77,,33,,,58,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,1,,0,,,4,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,108,,65.06%,,56,,20,,,32,,
Janet T. Dudding,,58,,34.94%,,19,,12,,,27,,
Total Votes Cast,,166,,100.00%,,75,,32,,,59,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,3,,1,,,3,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,133,,81.10%,,66,,22,,,45,,
Jay Kleberg,,31,,18.90%,,9,,10,,,12,,
Total Votes Cast,,164,,100.00%,,75,,32,,,57,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,3,,1,,,5,,
,,,,,,,,,,25,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1013,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,61,,36.09%,,30,,11,,,20,,
Peter Sakai,,108,,63.91%,,48,,22,,,38,,
Total Votes Cast,,169,,100.00%,,78,,33,,,58,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,0,,0,,,4,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,56,,34.36%,,23,,12,,,21,,
Maria Teresa Garcia,,107,,65.64%,,52,,20,,,35,,
Total Votes Cast,,163,,100.00%,,75,,32,,,56,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,3,,1,,,6,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,79,,47.59%,,43,,13,,,23,,
"Christine ""Chris"" Castillo",,87,,52.41%,,32,,19,,,36,,
Total Votes Cast,,166,,100.00%,,75,,32,,,59,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,3,,1,,,3,,
,,,,,,,,,,26,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1014,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,413",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,64,,22,,20,,22,,,,,
Ballots Cast - Democratic Party,,55,,17,,20,,18,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,4.53%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,34,,66.67%,,12,,10,,,12,,
Mike Collier,,17,,33.33%,,4,,9,,,4,,
Total Votes Cast,,51,,100.00%,,16,,19,,,16,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,1,,1,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,43,,81.13%,,12,,16,,,15,,
Joe Jaworski,,10,,18.87%,,4,,3,,,3,,
Total Votes Cast,,53,,100.00%,,16,,19,,,18,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,1,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,41,,77.36%,,10,,18,,,13,,
Janet T. Dudding,,12,,22.64%,,6,,1,,,5,,
Total Votes Cast,,53,,100.00%,,16,,19,,,18,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,1,,,0,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,48,,88.89%,,15,,18,,,15,,
Jay Kleberg,,6,,11.11%,,2,,1,,,3,,
Total Votes Cast,,54,,100.00%,,17,,19,,,18,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,1,,,0,,
,,,,,,,,,,27,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1014,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,14,,25.45%,,6,,5,,,3,,
Peter Sakai,,41,,74.55%,,11,,15,,,15,,
Total Votes Cast,,55,,100.00%,,17,,20,,,18,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,27,,50.00%,,6,,10,,,11,,
Maria Teresa Garcia,,27,,50.00%,,11,,9,,,7,,
Total Votes Cast,,54,,100.00%,,17,,19,,,18,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,1,,,0,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
